ano_de_construccion,banos,disposicion,dormitorios,estado,garajes,gastos_comunes,m2_de_la_terraza,m2_del_terreno,m2_edificados,price,tipo_propiedad,vivienda_social,zona
1956.0,1.0,al frente,2.0,buen estado,1.0,3500.0,0.0,65.0,65.0,187000.0,apartamentos,0.0,parque rodo
1960.0,2.0,al frente,5.0,buen estado,2.0,0.0,4.0,200.0,210.0,220000.0,casas,0.0,malvin
2016.0,1.0,al frente,0.0,excelente estado,0.0,0.0,0.0,37.0,28.0,100000.0,apartamentos,0.0,cordon
1981.0,1.0,al frente,2.0,buen estado,0.0,8500.0,0.0,68.0,68.0,225000.0,apartamentos,0.0,pocitos
2019.0,1.0,al frente,2.0,a estrenar,0.0,1.0,3.0,76.0,76.0,152440.0,apartamentos,1.0,tres cruces
2018.0,1.0,al frente,1.0,excelente estado,1.0,4500.0,0.0,43.0,43.0,174000.0,apartamentos,0.0,malvin
2011.0,2.0,al frente,3.0,buen estado,1.0,15500.0,0.0,115.0,115.0,395000.0,apartamentos,0.0,punta carretas
1978.0,1.0,al frente,2.0,requiere mantenimiento,0.0,3500.0,2.0,71.0,71.0,130000.0,apartamentos,0.0,centro
2020.0,1.0,al frente,1.0,en construccion,0.0,0.0,0.0,49.0,49.0,131250.0,apartamentos,0.0,carrasco norte
2019.0,1.0,al frente,1.0,a estrenar,0.0,5000.0,0.0,76.0,76.0,189000.0,apartamentos,0.0,pocitos
2018.0,2.0,al frente,2.0,buen estado,0.0,5.0,0.0,72.0,72.0,262500.0,apartamentos,0.0,pocitos
2017.0,1.0,al frente,2.0,a estrenar,0.0,3000.0,0.0,58.0,58.0,144600.0,apartamentos,1.0,tres cruces
1957.0,2.0,al frente,5.0,reciclada,0.0,0.0,0.0,95.0,150.0,186000.0,casas,0.0,union
2000.0,1.0,al frente,2.0,excelente estado,1.0,9800.0,3.0,60.0,60.0,155000.0,apartamentos,0.0,tres cruces
1956.0,2.0,al frente,4.0,excelente estado,1.0,12000.0,9.0,125.0,125.0,275000.0,apartamentos,0.0,centro
1955.0,1.0,al frente,2.0,buen estado,0.0,2000.0,0.0,74.0,74.0,225000.0,apartamentos,0.0,malvin
2016.0,3.0,,3.0,excelente estado,2.0,0.0,0.0,300.0,400.0,1200000.0,casas,0.0,punta carretas
2004.0,1.0,lateral,1.0,buen estado,1.0,8900.0,0.0,50.0,50.0,198000.0,apartamentos,0.0,puerto buceo
1956.0,3.0,al frente,3.0,a reciclar,1.0,15300.0,8.0,130.0,130.0,278000.0,apartamentos,0.0,punta carretas
2018.0,1.0,al frente,4.0,buen estado,3.0,0.0,0.0,229.0,335.0,620000.0,casas,0.0,puerto buceo
2005.0,2.0,al frente,3.0,buen estado,1.0,16332.0,0.0,100.0,100.0,265000.0,apartamentos,0.0,carrasco
1995.0,2.0,al frente,2.0,excelente estado,1.0,10000.0,8.0,60.0,60.0,225000.0,apartamentos,0.0,malvin
1960.0,1.0,interior,2.0,buen estado,0.0,3300.0,0.0,49.0,49.0,140000.0,apartamentos,0.0,cordon
2020.0,1.0,al frente,1.0,buen estado,0.0,0.0,0.0,79.0,79.0,170000.0,apartamentos,0.0,pocitos
2003.0,3.0,al frente,3.0,buen estado,1.0,34000.0,0.0,255.0,255.0,1100000.0,apartamentos,0.0,carrasco
2010.0,3.0,al frente,4.0,excelente estado,3.0,0.0,0.0,717.0,270.0,580000.0,casas,0.0,malvin
2019.0,1.0,interior,0.0,buen estado,1.0,0.0,0.0,26.0,26.0,127000.0,apartamentos,0.0,parque rodo
2009.0,2.0,al frente,3.0,buen estado,1.0,0.0,10.0,135.0,120.0,310000.0,casas,0.0,prado
1918.0,3.0,al frente,5.0,a reciclar,1.0,0.0,0.0,338.0,269.0,330000.0,casas,0.0,parque rodo
2008.0,1.0,al frente,1.0,excelente estado,1.0,6000.0,3.0,50.0,50.0,155000.0,apartamentos,0.0,prado
2007.0,2.0,al frente,2.0,buen estado,1.0,11000.0,9.0,70.0,70.0,240000.0,apartamentos,0.0,pocitos
2019.0,1.0,al frente,1.0,buen estado,1.0,0.0,0.0,40.0,40.0,199000.0,apartamentos,0.0,pocitos
2012.0,1.0,al frente,2.0,buen estado,0.0,1800.0,0.0,48.0,48.0,145000.0,apartamentos,0.0,la blanqueada
1995.0,3.0,al frente,5.0,excelente estado,3.0,0.0,95.0,833.0,450.0,950000.0,casas,0.0,punta gorda
1933.0,2.0,al frente,3.0,buen estado,0.0,0.0,0.0,44.0,86.0,135000.0,casas,0.0,atahualpa
1949.0,2.0,al frente,4.0,requiere mantenimiento,0.0,0.0,50.0,126.0,165.0,195000.0,casas,0.0,brazo oriental
1980.0,3.0,al frente,4.0,excelente estado,1.0,16000.0,12.0,117.0,117.0,355000.0,apartamentos,0.0,pocitos
1952.0,3.0,al frente,3.0,buen estado,1.0,20500.0,0.0,189.0,189.0,295000.0,apartamentos,0.0,centro
2012.0,3.0,al frente,3.0,excelente estado,2.0,8050.0,120.0,160.0,160.0,700000.0,apartamentos,0.0,carrasco
2019.0,1.0,al frente,1.0,buen estado,1.0,0.0,0.0,59.0,59.0,142000.0,apartamentos,0.0,parque batlle
2019.0,1.0,contrafrente,1.0,a estrenar,0.0,2500.0,0.0,36.0,36.0,119500.0,apartamentos,0.0,parque batlle
2018.0,2.0,al frente,2.0,a estrenar,1.0,3500.0,21.0,80.0,80.0,258000.0,apartamentos,0.0,pocitos
2019.0,2.0,al frente,2.0,a estrenar,1.0,3000.0,12.0,84.0,84.0,272900.0,apartamentos,0.0,pocitos nuevo
2008.0,2.0,al frente,3.0,excelente estado,2.0,0.0,70.0,534.0,145.0,455000.0,casas,0.0,parque miramar
2019.0,1.0,contrafrente,1.0,buen estado,0.0,9000.0,0.0,48.0,48.0,130000.0,apartamentos,0.0,centro
1999.0,2.0,al frente,3.0,excelente estado,1.0,0.0,0.0,200.0,83.0,225000.0,casas,0.0,malvin
1990.0,3.0,al frente,4.0,excelente estado,2.0,21000.0,180.0,170.0,170.0,650000.0,apartamentos,0.0,
1945.0,1.0,lateral,3.0,excelente estado,0.0,0.0,28.0,70.0,70.0,88000.0,apartamentos,0.0,tres cruces
2019.0,1.0,al frente,2.0,excelente estado,1.0,0.0,0.0,63.0,63.0,199167.0,apartamentos,0.0,barrio sur
