banos,dormitorios,garajes,gastos_comunes,m2_del_terreno,m2_edificados,price,vivienda_social,disposición_frente,estado_rec_exc,zona_cat_1,zona_cat_2,zona_cat_3
2.0,3.0,2.0,0.0,534.0,145.0,455000.0,0.0,1,1,0,0,1
1.0,1.0,0.0,9000.0,48.0,48.0,130000.0,0.0,0,0,0,1,0
2.0,3.0,1.0,0.0,200.0,83.0,225000.0,0.0,1,1,0,0,1
1.0,3.0,0.0,0.0,70.0,70.0,88000.0,0.0,0,1,0,1,0
1.0,2.0,1.0,0.0,63.0,63.0,199167.0,0.0,1,1,0,1,0
2.0,2.0,1.0,12000.0,80.0,80.0,240000.0,0.0,1,1,0,0,1
1.0,3.0,1.0,0.0,75.0,55.0,130000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,0.0,56.0,56.0,162000.0,0.0,0,0,0,0,1
2.0,4.0,0.0,0.0,95.0,140.0,186000.0,0.0,1,0,0,1,0
1.0,1.0,1.0,0.0,48.0,48.0,162500.0,0.0,1,0,0,0,1
1.0,0.0,1.0,0.0,22.0,22.0,89610.0,0.0,0,0,0,1,0
3.0,3.0,1.0,0.0,127.0,127.0,358000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,0.0,73.0,73.0,191438.0,0.0,0,0,0,1,0
3.0,3.0,1.0,0.0,222.0,215.0,300000.0,0.0,0,1,0,1,0
2.0,2.0,0.0,0.0,85.0,85.0,285000.0,0.0,1,0,0,0,1
1.0,1.0,1.0,0.0,59.0,59.0,145000.0,0.0,0,0,0,1,0
2.0,2.0,1.0,0.0,92.0,92.0,215000.0,0.0,1,1,0,0,1
2.0,2.0,2.0,13000.0,97.0,97.0,310000.0,0.0,1,1,0,0,1
2.0,5.0,0.0,0.0,137.0,304.0,140000.0,0.0,1,0,0,1,0
3.0,3.0,2.0,18000.0,185.0,185.0,485000.0,0.0,1,1,0,0,1
2.0,2.0,1.0,14000.0,78.0,78.0,240000.0,0.0,1,1,0,0,1
1.0,1.0,0.0,1750.0,41.0,41.0,125000.0,0.0,0,0,0,1,0
2.0,4.0,1.0,0.0,108.0,208.0,230000.0,0.0,1,0,0,1,0
2.0,4.0,2.0,10000.0,139.0,139.0,220000.0,0.0,1,0,0,1,0
1.0,0.0,1.0,0.0,22.0,22.0,96820.0,0.0,1,0,0,1,0
1.0,2.0,1.0,4500.0,58.0,58.0,195000.0,0.0,1,0,0,0,1
1.0,3.0,0.0,0.0,92.0,92.0,155000.0,0.0,1,0,0,1,0
2.0,3.0,1.0,5200.0,74.0,74.0,225000.0,0.0,0,1,0,0,1
2.0,4.0,2.0,0.0,689.0,220.0,440000.0,0.0,1,0,0,0,1
1.0,0.0,0.0,0.0,25.0,25.0,97200.0,0.0,0,0,0,0,1
3.0,4.0,0.0,0.0,164.0,172.0,219000.0,0.0,1,1,0,1,0
1.0,1.0,1.0,0.0,45.0,45.0,125400.0,0.0,0,0,0,1,0
1.0,2.0,1.0,0.0,55.0,55.0,196600.0,0.0,1,0,0,1,0
3.0,4.0,0.0,26500.0,176.0,176.0,750000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,1.0,30.0,30.0,112000.0,1.0,1,0,0,1,0
1.0,1.0,0.0,5821.0,44.0,44.0,128000.0,0.0,1,0,0,0,1
